date;IMOEX
15.08.2017;1950,28
16.08.2017;1942,88
17.08.2017;1941,52
18.08.2017;1930,71
21.08.2017;1937,66
22.08.2017;1947,4
23.08.2017;1958,52
24.08.2017;1973,5
25.08.2017;1979,14
28.08.2017;1987,15
29.08.2017;1989,12
30.08.2017;2008,88
31.08.2017;2022,22
01.09.2017;2010,98
04.09.2017;2003,32
05.09.2017;2004,02
06.09.2017;2014,6
07.09.2017;2010,17
08.09.2017;2032,75
11.09.2017;2044,13
12.09.2017;2058,8
13.09.2017;2054,19
14.09.2017;2052,25
15.09.2017;2053,81
18.09.2017;2059,08
19.09.2017;2048,99
20.09.2017;2057,53
21.09.2017;2060,24
22.09.2017;2051,63
25.09.2017;2069,11
26.09.2017;2071,13
27.09.2017;2081,12
28.09.2017;2071,64
29.09.2017;2077,19
02.10.2017;2075,72
03.10.2017;2076,81
04.10.2017;2077,09
05.10.2017;2088,32
06.10.2017;2093,86
09.10.2017;2096,29
10.10.2017;2086,91
11.10.2017;2101,07
12.10.2017;2094,96
13.10.2017;2098,77
16.10.2017;2106,39
17.10.2017;2092,57
18.10.2017;2094,4
19.10.2017;2072,73
20.10.2017;2071,83
23.10.2017;2063,81
24.10.2017;2061,79
25.10.2017;2049,48
26.10.2017;2046,69
27.10.2017;2068,76
30.10.2017;2065,25
31.10.2017;2064,31
01.11.2017;2082,73
02.11.2017;2073,04
03.11.2017;2081,15
07.11.2017;2155,55
08.11.2017;2163,01
09.11.2017;2183,61
10.11.2017;2169,26
13.11.2017;2167,63
14.11.2017;2166,83
15.11.2017;2131,75
16.11.2017;2132,65
17.11.2017;2131,91
20.11.2017;2130,39
21.11.2017;2155,82
22.11.2017;2160,16
23.11.2017;2148,56
24.11.2017;2161,17
27.11.2017;2145,87
28.11.2017;2149,45
29.11.2017;2124,08
30.11.2017;2100,62
01.12.2017;2105,99
04.12.2017;2119,42
05.12.2017;2113,69
06.12.2017;2124,12
07.12.2017;2103,15
08.12.2017;2104,99
11.12.2017;2148,6
12.12.2017;2160,75
13.12.2017;2131,94
14.12.2017;2152,41
15.12.2017;2143,99
18.12.2017;2134,58
19.12.2017;2118,16
20.12.2017;2102,97
21.12.2017;2093,38
22.12.2017;2102,94
25.12.2017;2105,06
26.12.2017;2097,03
27.12.2017;2106,17
28.12.2017;2102,89
29.12.2017;2109,74
03.01.2018;2152,97
04.01.2018;2197,6
05.01.2018;2207,41
09.01.2018;2225,39
10.01.2018;2232,27
11.01.2018;2246,45
12.01.2018;2262,38
15.01.2018;2261,53
16.01.2018;2257,89
17.01.2018;2277,89
18.01.2018;2297,47
19.01.2018;2286,33
22.01.2018;2308,61
23.01.2018;2298,95
24.01.2018;2306,99
25.01.2018;2320,03
26.01.2018;2295,26
29.01.2018;2284,27
30.01.2018;2280,36
31.01.2018;2289,99
01.02.2018;2302,57
02.02.2018;2281,84
05.02.2018;2276,85
06.02.2018;2238,24
07.02.2018;2254,64
08.02.2018;2227,24
09.02.2018;2197,12
12.02.2018;2220,12
13.02.2018;2250,63
14.02.2018;2257,95
15.02.2018;2265,45
16.02.2018;2255,27
19.02.2018;2254,92
20.02.2018;2270,12
21.02.2018;2320,32
22.02.2018;2336,82
26.02.2018;2353,16
27.02.2018;2341,89
28.02.2018;2296,8
01.03.2018;2297,9
02.03.2018;2288,84
05.03.2018;2309,53
06.03.2018;2303,32
07.03.2018;2291,23
09.03.2018;2311,69
12.03.2018;2318,01
13.03.2018;2319,38
14.03.2018;2275,24
15.03.2018;2272,49
16.03.2018;2294,6
19.03.2018;2281,72
20.03.2018;2291,18
21.03.2018;2309,36
22.03.2018;2285,76
23.03.2018;2285,53
26.03.2018;2240,85
27.03.2018;2262,5
28.03.2018;2249,23
29.03.2018;2274,62
30.03.2018;2270,98
02.04.2018;2256,64
03.04.2018;2263,85
04.04.2018;2265,6
05.04.2018;2296,25
06.04.2018;2281,23
09.04.2018;2090,88
10.04.2018;2173,76
11.04.2018;2192,15
12.04.2018;2210,05
13.04.2018;2175,16
16.04.2018;2143,67
17.04.2018;2191,19
18.04.2018;2241,49
19.04.2018;2230,55
20.04.2018;2232,66
23.04.2018;2250,99
24.04.2018;2253,77
25.04.2018;2253,5
26.04.2018;2286,02
27.04.2018;2301,49
28.04.2018;2297,3
30.04.2018;2307,02
02.05.2018;2306,42
03.05.2018;2274,07
04.05.2018;2289,47
07.05.2018;2297,12
